iter	Passed	Remaining
0	139	139818
1	143	71431
2	146	48685
3	148	36903
4	150	29911
5	151	25176
6	152	21697
7	154	19217
8	157	17299
9	158	15721
10	159	14370
11	161	13270
12	162	12329
13	163	11522
14	164	10809
15	165	10190
16	166	9647
17	167	9141
18	168	8686
19	168	8278
20	169	7915
21	170	7590
22	171	7292
23	172	7022
24	173	6767
25	174	6528
26	174	6305
27	175	6099
28	176	5903
29	176	5722
30	177	5553
31	178	5396
32	179	5247
33	179	5107
34	180	4979
35	181	4854
36	182	4740
37	182	4629
38	183	4526
39	184	4425
40	185	4328
41	185	4237
42	186	4149
43	187	4063
44	187	3982
45	188	3907
46	189	3833
47	189	3762
48	190	3693
49	190	3627
50	191	3564
51	192	3502
52	192	3443
53	193	3386
54	193	3331
55	194	3278
56	195	3229
57	196	3183
58	196	3138
59	197	3092
60	197	3047
61	198	3005
62	199	2964
63	199	2924
64	200	2884
65	201	2847
66	201	2810
67	202	2770
68	202	2736
69	203	2703
70	204	2670
71	204	2638
72	205	2607
73	206	2578
74	206	2548
75	207	2519
76	207	2491
77	208	2463
78	209	2436
79	209	2412
80	210	2389
81	211	2368
82	212	2347
83	213	2326
84	213	2300
85	214	2279
86	214	2255
87	215	2235
88	216	2215
89	217	2196
90	217	2177
91	218	2158
92	219	2140
93	220	2122
94	220	2104
95	221	2088
96	222	2071
97	223	2055
98	224	2039
99	224	2023
100	225	2009
101	226	1991
102	226	1975
103	227	1960
104	228	1946
105	229	1931
106	229	1917
107	230	1903
108	231	1889
109	231	1875
110	232	1862
111	233	1849
112	233	1835
113	234	1823
114	235	1810
115	235	1796
116	236	1783
117	236	1770
118	237	1757
119	237	1744
120	238	1732
121	239	1720
122	239	1707
123	240	1697
124	241	1687
125	242	1678
126	242	1668
127	243	1656
128	243	1645
129	244	1634
130	244	1624
131	245	1613
132	246	1603
133	246	1593
134	247	1583
135	247	1574
136	248	1564
137	248	1554
138	249	1545
139	249	1535
140	250	1526
141	251	1517
142	251	1508
143	252	1499
144	252	1491
145	253	1482
146	254	1474
147	254	1465
148	255	1459
149	256	1454
150	257	1447
151	258	1440
152	258	1432
153	259	1425
154	260	1417
155	260	1410
156	261	1402
157	261	1395
158	262	1387
159	262	1380
160	263	1373
161	264	1367
162	264	1360
163	265	1354
164	266	1348
165	267	1342
166	267	1336
167	268	1330
168	269	1324
169	270	1318
170	270	1313
171	271	1308
172	272	1303
173	273	1298
174	274	1292
175	274	1286
176	275	1280
177	275	1274
178	276	1268
179	277	1262
180	277	1254
181	277	1249
182	278	1243
183	279	1238
184	279	1232
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1204
190	283	1199
191	283	1194
192	284	1188
193	284	1183
194	285	1179
195	286	1175
196	287	1171
197	288	1166
198	288	1161
199	289	1156
200	289	1151
201	290	1147
202	290	1142
203	291	1137
204	292	1133
205	292	1128
206	293	1123
207	293	1119
208	294	1114
209	295	1110
210	295	1106
211	296	1101
212	297	1097
213	297	1092
214	298	1088
215	298	1084
216	299	1080
217	299	1075
218	300	1071
219	301	1067
220	301	1064
221	302	1060
222	303	1056
223	303	1052
224	304	1048
225	304	1043
226	305	1039
227	305	1035
228	306	1032
229	307	1028
230	307	1024
231	308	1020
232	308	1016
233	309	1012
234	310	1009
235	310	1005
236	311	1001
237	311	998
238	312	994
239	312	990
240	313	987
241	313	983
242	314	979
243	315	976
244	315	972
245	316	969
246	317	967
247	318	964
248	318	961
249	319	958
250	320	954
251	320	951
252	321	948
253	321	945
254	322	942
255	322	938
256	323	935
257	324	932
258	324	929
259	325	925
260	325	922
261	326	919
262	327	916
263	327	913
264	328	910
265	328	907
266	329	904
267	329	900
268	330	898
269	331	895
270	332	893
271	332	891
272	333	888
273	334	885
274	334	882
275	335	879
276	336	877
277	336	874
278	337	872
279	338	869
280	338	867
281	339	864
282	340	862
283	341	859
284	341	857
285	342	854
286	342	851
287	343	849
288	344	846
289	344	843
290	345	840
291	345	838
292	346	836
293	347	834
294	348	832
295	348	829
296	349	827
297	350	824
298	350	822
299	351	819
300	352	817
301	352	814
302	353	812
303	353	809
304	354	807
305	354	805
306	355	802
307	356	799
308	356	797
309	357	795
310	357	792
311	358	790
312	358	787
313	359	785
314	360	783
315	360	780
316	361	778
317	362	776
318	363	774
319	363	772
320	364	771
321	365	768
322	365	766
323	366	764
324	366	762
325	367	759
326	368	757
327	368	755
328	369	753
329	369	750
330	370	748
331	371	746
332	371	744
333	372	742
334	372	739
335	373	737
336	373	735
337	374	733
338	375	731
339	375	729
340	376	728
341	377	726
342	378	724
343	379	722
344	379	721
345	380	719
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	707
352	385	705
353	385	704
354	386	702
355	387	700
356	387	698
357	388	696
358	389	694
359	389	693
360	390	691
361	391	689
362	392	688
363	392	686
364	393	685
365	394	683
366	395	682
367	396	680
368	396	678
369	397	676
370	397	674
371	398	672
372	398	670
373	399	668
374	400	666
375	400	664
376	401	663
377	401	661
378	402	659
379	402	657
380	403	655
381	404	653
382	404	651
383	405	649
384	405	648
385	406	646
386	407	644
387	407	643
388	408	642
389	409	640
390	410	639
391	410	637
392	411	635
393	412	633
394	412	631
395	413	630
396	413	628
397	414	626
398	414	624
399	415	623
400	415	621
